"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035576/2018","Pět Královéměsteckých motocyklových zastavení","Vydání publikace k 60. výročí od pořádání prvního silničního závodu motocyklů v Městci Králové. Publikace zaznamenává histotii a výsledky jednotlivých závodů, práci činovníků, závodníků a pořadatelů.","neschváleno RK","100000","60000","","60"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035586/2018","Pohledy za obzory","Vedle besed na téma návykové látky, sportovních a kulturních aktivit se snažíme vybrat alespoň ty důležité pro náš spolek, Jsou to:, Benátecký Střevíc:, Jedná se o XVI. ročník přehlídky romské kultury, kde vystupují, dětské taneční soubory, kapely a soutěž v tanci dvojic., z dětských souborů přislíbili účast:, Rupune Čhave z Písku, Čercheničky z Kolína, soubor z Červeného Kostelce a Mělníka., Kapely, kromě těles spolku, jako:, Dama Band, Šani Band a Kvintet, se zúčastní, Gipsy Kubo z Ml. Boleslaci, G. Anča z Nymburka, Sám Roma z Písku, Demeter-Husák a spol z Ústí n.Lab.a Gipsy Culi z Trebišova (SK )., u tanečních dvojic preferujeme zájemce z různých měst, aby to bylo zajímavější. Soutěží se na tři různé druhy tanců, vyhrávají ti nenápaditější., Mikulášská nadílka: , Na to se dětí těší obzvlášť .zazpívají, zatancují si vydovádí se, samozřejmě za dozoru maminek a zakončí  příchodem Mikuláše, Anděla a Čerta, kde ti nejmenší se drží maminčiny sukni., Tak to je  stručný výběr aktivit, kde se snažíme o co nejhospodárnější  rozpočet, kde organizátoři akcí, tedy členové spolku vykonávají práci bez nároků na odměnu.     ","neschváleno RK","73000","23000","","31.50684932"
"Financování dalších činností a aktivit, nad nimiž převzal záštitu některý z orgánů SK","2018","FHT/PHT/035588/2018","Celostátní výstava poštovních holubů v roce 2019","Celostátní výstava poštovních holubů na počátku roku 2019 je vyvrcholením závodní sezóny roku 2018. Na výstavě jsou vystaveni neúspěšnější závodníci, z nichž je pak vybrána kolekce na Olympiádu, která se bude konat také v roce 2019 v Polsku.","neschváleno RK","350000","40000","","11.42857143"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035599/2018","Podpora letních aktivt mladých hasičů Senec","akce se uskuteční v areálu Višňová- sportovní akce - soutěže a příprava na soutěž jednotlivců ,, Mladý železný hasič,, výcvik na řece na lodích, kulturní program,  výlet do Berouna a na hrad Křivoklát, návštěva z HZS Rakovník,  policie,  a zdravotníkům- ukázka a beseda- účelem je sportovní aktivita a získání znalostí.","neschváleno RK","22000","20000","","90.90909091"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035636/2018","Vydání 26. ročníku Regionálního adresáře firem a institucí 2019","Tento prezentační katalog firem v regionu Příbram vydává Okresní, hospodářská komora v, Příbrami již dvacet pět let, prakticky od jejího založení. Práce na katalogu se rok od roku vyvíjí a, zkvalitňuje. V současné době obsahuje cca 600 aktualizovaných zápisů firem z regionu Příbram., Obsahuje jak abecední rejstřík firem, tak oborový rejstřík dle předmětu podnikání (v češtině,, němčině, angličtině, takže je použitelný i pro zahraniční prezentaci) a seznam členských firem, OHK Příbram. Pravidelně aktualizujeme i kontakty na důležité instituce, v regionu., I v minulých letech jsme jednu z hlavních barevných stránek věnovali prezentaci Krajského úřadu, Středočeského kraje, s čímž počítáme i v následujícím katalogu pro rok 2019. Pravidelně po, vytištění katalogu předáváme do kanceláře hejtmana cca 20 ks výtisků k možné prezentaci, našeho regionu, kterou můžete využívat např. i při Vašich zahraničních cestách pro, podnikatelské, kontakty., Adresář dále obsahuje kromě základních informací důležitá data firem včetně e-mailových adres,, mobilních telefonů a www stránek, popřípadě loga firem. V současné době již začínáme na, katalogu aktivně pracovat, tak, aby uzávěrka dat proběhla k 15. září 2018. Poté začne probíhat, předtisková příprava, která je právě nejvíce finančně náročná., Vytištěná verze katalogu bude distribuována do konce roku 2018.V současné době jsme umístili na webové stránky www.ohkpb.cz i elektronickou aplikaci adresáře., ","neschváleno RK","262000","50000","","19.08396947"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/035604/2018","Pořízení slavnostního praporu Okresního sdružení hasičů Kolín","V našem okrese pořádáme různé akce. Ať už jde o pořádání vyhodnocení okresního a krajského kola soutěže Požární ochrana očima dětí, okresních soutěží jako je Okresní kolo hry Plamen (děti ve věku 3-15let), Okresní kolo soutěže dorostu (dětí ve věku 13-18let), Okresní soutěž v požárním sportu (dospělí), Pohár starostky okresu. Jsme i pořadateli krajských soutěží, každoročně pořádáme setkání Zasloužilých hasičů a Shromáždění starostů SDH okresu Kolín. Jednotlivci a soutěžní družstva našeho okresu postupují nejen na Krajské kola soutěží, ale i Mistrovství republiky. ,                                                                                                                                                                                                                                                         , A právě na veškerých těchto akcí bychom chtěli reprezentovat naše sdružení i prostřednictvím slavnostního hasičského praporu. Dotace by byla použita na pořízení vyšívaného praporu (návrh, samotná realizace) a příslušenství (stojanu, žerdě, hlavice žerdě, ochranné „pláštěnky“, přepravního vaku,  rukavic a koženého pásu pro praporečníka). ,                                                                                                                                                                                                                                                         , , V případě pořízení našeho vlastního praporu by byly na slavnostním předání k němu připevněny pamětní stuhy, které jsme již při významných událostech obdrželi jako ocenění a doposud nebylo možné je kde uplatnit, ale také stuha s informací o pořízení praporu za podpory  dotace hejtmana Stř. kraje., ","neschváleno RK","90000","70000","","77.77777778"
"Činnosti nebo aktivity v oblasti sociální","2018","FHT/PHT/035850/2018","Podpora sociálního podnikání formou vydání katalogu regionální značky Kutnohorsko","Na území místní akční skupiny Lípa pro venkov v současnosti existuje 27 producentů a poskytovatelů služeb, kterým byl udělen certifikát ""Regionální značka Kutnohorsko"". Náš spolek si klade za cíl koordinovat aktivity spojené s touto značkou, na čemž spolupracuje i s Městem Kutná Hora a s DSO Čáslavsko. To se týká zejména propagace sortimentu těchto drobných živnostníků, kteří často zhotovují výjimečné a rukodělně náročné produkty, sami však nemají možnost své aktivity propagovat a šířit. Z tohoto důvodu bychom rádi vydali katalog, který bude tyto výrobky propagovat a podpoří tak jejich odbyt. Tisk katalogu v počtu 5.000 ks v kalendářové vazbě zásadně přispěje k rozšíření povědomí o nabízených produktech a zvýší kredit této regionální značky. To bude mít dopad na sociální stabilitu a zaměstnanost zejména v těch nejmenších obcích okresu a kraje, kde se potýkají s nedostatkem pracovních příležitostí.    ","neschváleno RK","53240","42592","","80"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035611/2018","Publikace Dopisy z války","Žádost o příspěvek na vydání knihy Dopisy z války( ke 100. výročí konce 1. světové války).Publikace obsahuje dopisy vojáka Oldřicha Oliče z Řevničova, nejprve z ruské, poté z italské fronty. V publikaci kromě dopisů vojáka své ženě jsou zařazeny i dopisy od jeho manželky a dětí. Součástí knihy v pevné vazbě budou dobové fotografie, pohlednice a fotografie památečních předmětů z 1. světové války.","neschváleno RK","31000","15000","","48.38709677"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035614/2018","Účast v European Rallye Trophy 2018","Soutěžní posádka Václav Dunovský - Petr Glössl,, soutěžní vůz Peugeot 208 R2,, European Rallye Trophy = 6 rallye v ČR, Chorvatsku, Rakousku, Polsku, Slovinsku a Německu,, sportovní cíl = mistrovský titul v kategorii vozů s jednou poháněnou nápravou","neschváleno RK","1400000","30000","","2.14285714"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035615/2018","Cena Posázaví 2018","Sportovní akce celorepublikového významu pořádaná v regionu, Středočeského kraje. Taneční postupová soutěž v standardních a latinsko-amerických tancích., Jedná se o soutěže v tanečním sportu, kde soutěží všechny věkové kategorie od dětí přes juniory po dospělé ve standardních a latinsko-amerických tancích. Cílem projektu je podpořit aktivity dětí ve volném čase, podpora kulturního a sportovního vyžití v, městě Týnci nad Sázavou. Akce celostátního i mezinárodního významu., Velkým přínosem pro společnost a region je podpora sportovních kulturních aktivit a podpora, mladých lidí. Tento projekt naváže na další podobné aktivity, které se v regionu Posázaví pořádali a plánují, pořádat: Cena města Týnce nad Sázavou. Pořadateli této soutěže je obecně prospěšná společnost Posázaví v úzké spolupráci s Městem, Týnec nad Sázavou, Taneční školou Salta, a Miroslavem Němcem (majitel Společenského centra TÝNEC). Všichni tito se v rámci partnerské spolupráce snaží o zvýšení prestiže regionu, Posázaví pořádáním kvalitních sportovních a kulturních akcí ve Středočeském kraji.","neschváleno RK","80000","50000","","62.5"
"Činnosti nebo aktivity v oblasti sociální","2018","FHT/PHT/035616/2018","Půjčovna rehabilitačních a kompenzačních pomůcek","Půjčovna funguje od roku 2007.Pro dokonalý provoz půjčovny používáme k rozvozu pomůcek automobil Sharran Jsme největší půjčovna ve středočeském kraji. Zájem o tuto službu má stoupající tendenci, vyjadřuje to navýšení pomůcek z 26  na 320.Dalším ukazatelem potřebnosti této služby je také stoupající tendence počtu klientů z 480 na 1250 ročně. Pro zlepšení služby klientům používáme k  rozvozu  pomůcek náš automobil. Jsme spojovací článek mezi revizním lékařem předepisující pomůcku a klientem. Tuto službu využívají i klienti z okresů Kutná Hora, Kolín, Praha Východ, Nymburk. Dostupnost naší půjčovny vidíme v naší nabídce dopravy a předvedení pomůcek přímo u klienta. Pro zlepšení propagace půjčovny pořádáme např. dny otevřených dveří -  v roce 2017 byl u této příležitosti českou televizí natočen dokument o naší půjčovně pro pořad Klíč. Dále pořádáme přednášky od firmy DMA o novinkách v rehabilitačních a kompenzačních pomůckách, přednášky praktického lékaře a besedy s tématikou hrazení a předepisování pomůcek.","neschváleno RK","115000","100000","","86.95652174"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035618/2018","Půlnoční výstup na rozhlednu Špulka","Předmětem žádosti o podporu je hudbou a sportem provázený zábavný večer pod rozhlednou Špulka. V letošním roce uspořádáme již 5. ročník této tradiční a velmi oblíbené akce při příležitosti 5 let od zahájení výstavby a položení základního kamene rozhledny. Touto akcí 31.8.2018 ukončíme na rozhledně Špulka symbolicky letní prázdniny a nabídneme bohatý program s možností výstupu na osvícenou rozhlednu s výhledem na noční krajinu. Zájem o tuto akci je velký, proto očekáváme opět účast přes 1000 malých i velkých návštěvníků. Tentokrát se mohou návštěvníci těšit na lidové loutkové divadlo s představením kašpárků a klaunů pro děti, ale i loutkovou inscenaci pro dospělé diváky. Dále proběhne Slackshow - vystoupení atletů na slackline, popruhu širokém 5 cm, zahrnující salta, rotace i silové prvky. Při této příležitosti si diváci budou moci náročnou chůzi po popruhu sami vyzkoušet. Celý večer svým hudebním vystoupením zpříjemní kapela PoKROK a v průběhu akce bude zajištěno občerstvení. Tajemnou atmosféru vytvoří světlem ozářená rozhledna, která se rozsvítí kolem deváté hodiny večer a okolní les nabídne malým návštěvníkům nemalá dobrodružství. Pro pořádání akce bude třeba pořídit nový a nahradit tím již dosluhujícíparty stan jako přístřešek pro návštěvníky v případě nepříznivého počasí. Tato akce podporuje setkávání lidí ze širokého okolí, zvyšuje návštěvnost a atraktivitu regionu., Program:, 18:30 hod. - zahájení, 18:45 hod. - loutkové divadlo pro děti i dospělé, 19:15 hod. - hudební vystoupení kapely PoKROK, 20:00 hod. - vystoupení Slackshow, 20:30 hod. - pokračování hudebního vystoupení kapely PoKROK, 21:00 hod. - rozsvícení rozhledny Špulka, 21:00 hod. - pokračování hudebního vystoupení kapely PoKROK, 1:00 hod. - konec akce a zhasnutí světel osvětlujících rozhlednu","neschváleno RK","50500","45000","","89.10891089"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035622/2018","Pivní Festival","Dne 26.května 2018 bude probíhat na mělnickém náměstí Míru 2.ročník Pivního festivalu za podpory města Mělníka.","neschváleno RK","297000","148500","","50"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035630/2018","Pekar - 330 výročí","Gymnaziální vzdělávání v mladoboleslavském regionu se datuje od roku 1688, kdy Černínové založili v blízkých Kosmonosech piaristickou kolej. Ve spolupráci s Muzejním spolkem Kosmonosy bychom chtěli 9.6.2018 toto výročí připomenout. V rámci chystaných oslav by měl proběhnout krojovaný průvod městem, který bude zakončen kulturním vystoupením (divadlo, koncert studentského orchestru a sboru). Doprovodnou akcí bude výstava prací žáků a prezentace historie i přítomnosti školy školy na přibližně patnácti až dvaceti panelech.","neschváleno RK","80000","50000","","62.5"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/035632/2018","Pořízení táborového vybavení","Vážený zástupci Středočeského kraje, Jako náčelník pobočného spolku České tábornické unie, T.K. Zálesák Liteň se na Vás obracím s žádostí o poskytnutí dotace na obnovu, údržbu a doplnění táborového vybavení na letním dětském táboře. Dlouhodobě využívaný materiál a vybavení tábora nám, i přes pravidelnou údržbu, pomalu dosluhuje a tak jsme postaveni před zásadní úkol zajistit potřebné množství finančních prostředků pro jeho postupnou obnovu. Jelikož jsme nezisková organizace tak tento úkol není v současné době nijak jednoduchý. Musíme obnovovat táborové stany s podsadami, udržovat dřevěný srub, který nám slouží od roku 1978 a je využíván jako kuchyně a jídelna pro 70 dětí popř. prostor pro hry a ostatní táborovou činnost při nepříznivém počasí. Letní tábor provozujeme ve dvou po sobě jdoucích turnusech nepřetržitě již od roku 1972 v údolí potoka Javornice u obce Zvíkovec. Tábora, v obou turnusech, se každoročně zúčastňuje 130-140 dětí a jejich provoz zabezpečuje cca 30-35 výchovných a technických pracovníků po dobu pěti týdnů. Většina těchto dobrovolníků věnuje této činnosti své vlastní volno a dovolené a v průběhu tábora dětem předávají své znalosti, učí je chování se v přírodě, v kolektivu apod.. T.K. Zálesák Liteň udržuje též od roku 1972 pravidelnou celoroční činnost dětského oddílu v obci. Jsme vděčni za každou finanční i materiální pomoc, která podpoří naší práci s dětmi. Celková požadovaná částka, o kterou si Vás dovolujeme požádat je 28000,- Kč na nákup vybavení a spotřebního materiálu – viz přiložená finanční rozvaha. Celkové náklady budou 57500Kč. Potřebujeme letos zakoupit vybavení do kuchyně, nádobu na nápoje, obnovit sportovní náčiní. Rádi bychom pořídili venkovní pinpongové stoly a sportovní náčiní. Nad stany věšíme pro větší bezpečnost sítě, které by zabránily případným padajícím větvím vznik škody na stanech nebo ublížení na zdraví, proto potřebujeme zakoupit žebřík, abychom mohli sítě pověsit.Pro lepší skladování a přepravu jsme zvolili teleskopický. Žebřík využijeme i při drobných opravách střechy jídelny, nebo přípravě her. Rádi bychom opět dětem zakoupily trička, která jim zůstanou po táboře na památku. Každá družina má svoji barvu a proto jsou děti při soutěžích dobře poznat. Např. za autobusovou dopravu dětí platíme 17000Kč.(odjezd dětí na tábor a poté zpět). Těší nás velký zájem rodičů o náš tábor.  Nejsme tábor s počítači ani s koňmi, ale tradiční český, kde děti tráví celý svůj čas v přírodě křivoklátských lesů u obce Zvíkovec. Děkujeme za vyřízení naší žádosti. V Litni, Za T.K. Zálesák Liteň, Jiří Hrách ","neschváleno RK","57500","27000","","46.95652174"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035634/2018","Rocková Zvole 2018","Předmětem žádosti je třetí ročník hudebního festivalu Rocková Zvole, který je hudebně kulturní akcí pro mladé lidi. V současné době se v našem regionu nekoná mnoho akcí pro náctileté. Smyslem našeho projektu je připravit hudebně kulturní odpoledne a večer, které si mladí lidé, ale i starší užijí a využijí k možnosti si zatancovat  a zazpívat. Z tohoto důvodu připravujeme akci, na které má publikum možnost seznámit se s mladými talentovanými hudebníky, kteří žijí ve Zvoli nebo v našem regionu, a ti mají příležitost ukázat své hudební umění na domácí půdě. V minulých letech jsme cíl naplnili a akce byla velmi úspěšná. V letošním roce bychom rádi v nastoleném trendu pokračovali, abychom dali šanci předvést své hudební umění na domácí půdě i dalším hudebním skupinám. , Návštěvníci se mohou těšit na vystoupení čtyř kapel, mezi které již třetím rokem bude patřit punk-rocková kapela s názvem 2x a dost. Dále se diváci mohou těšit na mladou kapelu s názvem Jsem z toho jelen z Vraného nad Vltavou, na chlapecké uskupení s názvem Adventures hrající hudbu na pomezí žánrů funky a rock a na punkovou kapelu Sierra Foxtrot. V průběhu celého festivalu bude zajištěno občerstvení formou stánků s různými pochutinami. , Rocková Zvole se bude konat 9.6. 2018 na fotbalovém hřišti Sokola Zvole, kde bude postaveno zastřešené podium o rozměrech 4x6m, připraveny stany s lavicemi pro diváky, dále zajištěn prostor pro účinkující a mobilní toalety. Zvuk a světla budou zajištěny profesionálním zvukařem. Celá akce je zajištěna a organizována pořadateli a dobrovolníky, kteří dělají svou práci ve svém volném čase a bez nároku na odměnu. , V rámci žádosti bychom rádi požádali o finanční příspěvek na náklady spojené s uspořádáním festivalu, které jsou uvedeny v přiloženém rozpočtu. Mezi hlavní položky patří stavba zastřešeného podia a odměny vystupujícím kapelám. Akce je přístupná široké veřejnosti a vstupné na akci je dobrovolné. Přestože intenzivně sháníme sponzory, stále nám jisté finanční prostředky chybí k uspořádání akce. V případě získání dotace nám finanční příspěvek od Středočeského kraje pomůže zajistit kvalitní a hladký průběh festivalu. Dále nám pomůže zajistit širší povědomí o plánované akci a tím zvýšit počet návštěvníků. Festival budeme propagovat na internetu, zejména na sociálních sítích. Abychom přispěli k zviditelnění festivalu, budeme veřejnost informovat pomocí plakátů na obecních nástěnkách všech okolních obcí a pomocí letáků, které budou rozdávány v okolních restauracích a školách a doručeny do schránek obyvatel Zvole a okolních obcí. V rámci propagace festivalu bude zajištěna povinná publicita Středočeského kraje uvedením loga Středočeského kraje na plakátech a letácích.","neschváleno RK","51000","45000","","88.23529412"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035639/2018","Trampfotbal 2018","TRAMPFOTBAL 2018, , Tělovýchovná jednota Lhotka (TJ Lhotka) organizuje činnost v oblasti sportovních, tělovýchovných, turistických a kulturních aktivit. TJ Lhotka vytváří pro dané aktivity materiální a technické podmínky. Účelem TJ Lhotka je vytváření širokých možností užívání sportovišť pro zájemce z řad veřejnosti, a to zejména z řad dětí a mládeže. Specifickým účelem je rovněž hájit zájmy spolku uvnitř či navenek, včetně spolupráce s orgány obce, ostatními organizacemi (ČUS, sportovní svazy i jednotlivci)., , TJ Lhotka je spolkem občanů provozujících tělovýchovu a sport. TJ Lhotka byla založena v roce 1935 pod názvem SK Lhotka (později existovala pod názvem TJ Sokol Lhotka a to v letech 1943 – 1992). TJ Lhotka se hlásí k tradicím tělovýchovy a sportu ve Lhotce a stává se pokračovatelem a garantem zachování myšlenek a výsledků práce svých předchůdců., , Základní působnost TJ Lhotka představuje obec Lhotka, která prezentuje malou obec, vzdálenou cca 10 km od obce Hořovice (okres Beroun), nacházející se na úpatí vrchu Plešivec. K 31. 12. 2017 bylo v obci 332 trvale hlášených osob. Přestože se jedná o malou obec, je v obci za spolupráce zastupitelstva obce Lhotka a místních organizací pořádáno každoročně mnoho kulturních či sportovních akcí a to jak pro místní, tak i přespolní návštěvníky, kterými jsou především děti a mládež. Tyto akce jsou širokou veřejností hojně navštěvovány. Řada těchto akcí má již dlouholetou tradici, kdy se těchto akcí účastní jak místní občané či návštěvníci z daného regionu, tak i lidé mimo Středočeský kraj. , , Spolupráce obce Lhotka s TJ Lhotka spočívá i ve vzájemné pomoci na údržbě movitého a nemovitého majetku obce Lhotka, údržbě veřejných prostranství, pomoci při likvidaci následků živelních či jiných pohrom a to jak na majetku obce Lhotka, tak na majetku samotných občanů. Neopomenutelnou součástí spolupráce mezi obcí Lhotka a místními spolky je právě pomoc při přípravě kulturních akcí na území obce. S ohledem na uvedené skutečnosti předkládá TJ Lhotka žádost o dotaci na podporu kulturně – sportovní / výchovnou akci TRAMPFOTBAL 2018., , Jak již bylo uvedeno, historie klubu TJ Lhotka sahá od roku 1935 až do dneška, i když pod různými názvy (SK Lhotka, Šakal Lhotka, Sokol Lhotka, TJ Lhotka). Od začátku byl hlavním sportem klasický fotbal, který se hrál až do poloviny 70. let, kdy klub de facto úplně zanikl a dále přežíval pouze díky funkcionářům. Od roku 1976 se ve sportovním areálu hrají především turnaje v minikopané, k jejímž účelům bylo zdejší hřiště přestaveno. V roce 1983 zde vznikl kuželkářský oddíl. Kuželkářský oddíl TJ Lhotka hrál do roku 2003 všechny své zápasy na kuželně v Lochovicích, která je v současnosti již několik let nefunkční. V roce 2004 se podařilo oddílu postavit svépomocí kuželnu na pozemku soukromého vlastníka, se kterým aktuálně nedošlo k dohodě na dalším využívání předmětných prostorů. V současné době má oddíl dvě družstva, která doposud hrála soutěž Krajského přeboru II, přičemž pro letošní rok je soutěž odhlášena z důvodu chybějícího zázemí. Kuželkářský oddíl má 30 členů z toho 15 registrovaných hráčů. , , Tento netradiční sport získává stále větší oblibu mezi veřejností (jak u dospělých, tak především u mládeže), o čemž svědčí v posledních letech zvětšující se obsazenost a vytíženost kuželny. Bohužel pro častou poruchovost doprovodného vybavení (stavěče kuželek, atd.) byla její kapacita značně omezena, a tak zájem ani nebyl uspokojen. Tato kuželna byla v současné době jediná na okrese Beroun a jedna z nemnoha ve Středočeském kraji. Výstavba nové kuželny je s ohledem na omezené finanční prostředky TJ Lhotka / obce Lhotka značně problematická., , TJ Lhotka působí v obci Lhotka v roli spolku, který společně s ostatními spolky v obci (SDH Lhotka, Rybáři Lhotka) a ve spolupráci s místním zastupitelstvem každoročně pořádá řadu kulturních a sportovních akcí (Vánoční koulení, Trampfotbal, Nohejbalový turnaj, Golfový turnaj, Masopust, Lampionový průvod, atd.). , , Předmětná akce, na kterou je požadována podpora, Trampfotbal má již dlouholetou tradici a je pořádán nepřetržitě od roku 1984. V roce 2017 nebyla akce organizována z důvodu zničení hracích ploch divokými prasaty. V předmětném roce probíhaly práce na oplocení celého sportovního areálu, aby se tyto škody v budoucnu neopakovaly. Veškeré práce byly provedeny svépomocí členy TJ Lhotka. Akce Trampfotbal představuje sportovně - kulturní akci, která si za dobu své existence získala velkou oblibu široké veřejnosti. , , Akce probíhá pravidelně v měsíci červnu a vyvrcholením je finálové utkání. Hlavním posláním celé akce je fotbalový turnaj v malé kopané za účasti cca 15-20 týmů z celých Čech (týmy Tachova, Teplic, atd.). Akce je okořeněna o vystoupení několika amatérských kapel a to ve večerních hodinách prvního dne akce, přičemž členové těchto mužstev se rovněž ve večerních hodinách účastní tohoto hudebního večera. Celá akce probíhá pod otevřeným nebem v místním sportovním areálu. , , Akce je pořádána ve spolupráci s obcí Lhotka a místními spolky, především SDH Lhotka. Mnozí z účastníků dojíždějí s celými svými rodinami na tuto akci již od jejího založení. V uplynulých letech obohatily tuto akci svým vystoupením takové osobnosti jako: Waldemar Matuška, Michal Tučný či skupiny Evy, Visací zámek a mnoho dalších. Tato akce je širokou veřejností hojně navštěvována. Celá akce je po celou dobu průběhu zajištěna z hlediska bezpečnosti a první pomoci právě jednotkou sboru dobrovolných hasičů, kteří v průběhu dne provádějí hasičské ukázky pro návštěvníky a hlavně pro děti. , , Jedná se o událost nadlokálního charakteru, vytvářející pro širokou veřejnost akci, která se koná na území Středočeského kraje a která výrazně přispívá k obohacení kulturního života jeho občanů., , Dotace, 1.	Požadovaný příspěvek celkem: 25 000 Kč , 2.	Vlastní zdroje (TJ Lhotka, Obec Lhotka, další sponzoři) celkem: 15 000 Kč , 3.	Předpokládaný rozpočet 40 000 Kč","neschváleno RK","40000","25000","","62.5"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035647/2018","JK Iluze - Podpora jezdeckého klubu ","Finanční prostředky  využijeme na provoz jezdeckých stájí. Z finančních prostředků zakoupíme seno, slámu a krmení pro koně. Finanční podporou provozu jezdeckých stájí rozšíříme a zkvalitníme služby, které ve stáji provozujeme. Větší část prostředků využijeme pak na reprezentaci, které se již devatenáct let se svými svěřenci věnujeme. Jako každým rokem budeme reprezentovat stáje (popř. Středočeský kraj) na místních, celorepublikových i evropských závodech.","neschváleno RK","100000","95000","","95"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035649/2018","Zpřístupnění dobývek na žíle Šlojíř","Montanika z. s. již 4,5 roku pracuje na zpřístupnění přes 10 km rozsáhlého podzemního komplexu bývalých Rudných dolů v Jílovém u Prahy, doposud hlavně na úrovni odvodňovací štoly Václav. Šlojířská žíla je nejvýznamnější zlatonosnou strukturou v oblasti Jílovského rudního revíru. V období největšího rozkvětu těžby v 13. - 14. století dle dobových pramenů poskytla významnou část finančních prostředků pro vybudování klíčových staveb ve Starém Městě pražském. Dotace je uvažována na zpřístupnění mezipatra pomocí žebříků do výšky cca 30 m nad patro štoly Václav. Tím bude umožněn vstup do spodní části největší dobývky na žíle Šlojíř. Z mezipatra bude v navazujících etapách zpřístupněno tzv. vysoké mezipatro pomocí schodů a stezek v dobývkách. Vertikální zpřístupnění dobývek na Šlojířské žíle do finální výšky 70 m nad úroveň štoly Václav poskytne návštěvníkům možnost navštívit obrovské vydobyté prostory, které poskytly nejvíce hrubého zlata v posledním období těžby v polovině 20. století. Zároveň se tím také umožní vstup do unikátní rozsáhlé středověké dobývky pocházející pravděpodobně z 14. století. Návštěvníci zde také uvidí zachované pilíře s křemennou zlatonosnou žilovinou. Zpřístupnění dobývek bude provedeno na základě povolení k hornické činnosti, vydaného místně příslušným báňským úřadem. Realizace bude částečně pokryta vlastními kapacitami a částečně dodavatelsky subjektem, vzešlým z výběrového řízení. Pro úspěšné provedení projektu zpřístupnění chodeb mezipatra v oblasti žíly Šlojíř komínem ve staničení cca 260 m od západního překopu bude třeba provést následující práce: vyčištění a zajištění komína v délce cca 40 m, instalace pracovního osvětlení v délce cca 90 m, vyčištění a dorovnání podlahy chodeb mezipatra v délce cca 50 m, instalace košových žebříků o celkové délce cca 36 m s bezpečnostními meziplošinami, provedení zábradlí v délce cca 10 m. Pro úspěšné dokončení rekonstrukčních prací v rámci výše uvedeného projektu, tzn. zpřístupnění chodeb mezipatra v oblasti žíly Šlojíř komínem ve staničení cca 260 m, předpokládáme investici v rozsahu cca 123 750 Kč. Dotační část z kraje bude použita na nákup žebříků, meziplošin a souvisejícího spojovacího materiálu. Ostatní položky budou hrazeny Montanikou z. s. V případě neudělení dotace nebude celý projekt ohrožen, ale dojde k prodloužení rekonstrukčních prací v závislosti na finančních možnostech Montanika z. s. V případě obdržení dotace předpokládáme dobu rekonstrukčních prací v délce cca 5 měsíců. Rádi bychom rekonstruovaný úsek slavnostně otevřeli v druhé polovině roku 2018 v rámci připomínky 50 let od ukončení těžby v roce 1968.","neschváleno RK","123750","99000","","80"
